name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-29 21:00:00,4586,162,90
Zhejiang,Mainland China,2020-01-29 21:00:00,428,0,4
Guangdong,Mainland China,2020-01-29 21:00:00,311,0,6
Henan,Mainland China,2020-01-29 21:00:00,278,2,2
Hunan,Mainland China,2020-01-29 21:00:00,277,0,0
Anhui,Mainland China,2020-01-29 21:00:00,200,0,2
Chongqing,Mainland China,2020-01-29 21:00:00,165,0,1
Jiangxi,Mainland China,2020-01-29 21:00:00,162,0,4
Shandong,Mainland China,2020-01-29 21:00:00,145,0,1
Sichuan,Mainland China,2020-01-29 21:00:00,142,1,1
Jiangsu,Mainland China,2020-01-29 21:00:00,129,0,1
Beijing,Mainland China,2020-01-29 21:00:00,111,1,4
Fujian,Mainland China,2020-01-29 21:00:00,101,0,0
Shanghai,Mainland China,2020-01-29 21:00:00,101,1,5
Guangxi,Mainland China,2020-01-29 21:00:00,78,0,2
Hebei,Mainland China,2020-01-29 21:00:00,65,1,0
Shaanxi,Mainland China,2020-01-29 21:00:00,56,0,0
Yunnan,Mainland China,2020-01-29 21:00:00,55,0,0
Hainan,Mainland China,2020-01-29 21:00:00,43,1,0
Heilongjiang,Mainland China,2020-01-29 21:00:00,43,1,0
Liaoning,Mainland China,2020-01-29 21:00:00,39,0,1
Shanxi,Mainland China,2020-01-29 21:00:00,35,0,1
Tianjin,Mainland China,2020-01-29 21:00:00,27,0,0
Gansu,Mainland China,2020-01-29 21:00:00,26,0,0
Nei Mongol,Mainland China,2020-01-29 21:00:00,16,0,0
Jilin,Mainland China,2020-01-29 21:00:00,14,0,1
Thailand,Thailand,2020-01-29 21:00:00,14,0,5
Xinjiang Uygur,Mainland China,2020-01-29 21:00:00,14,0,0
Guizhou,Mainland China,2020-01-29 21:00:00,12,0,1
Ningxia,Mainland China,2020-01-29 21:00:00,12,0,0
Japan,Japan,2020-01-29 21:00:00,11,0,1
Hong Kong,Hong Kong,2020-01-29 21:00:00,10,0,0
Singapore,Singapore,2020-01-29 21:00:00,10,0,0
Taiwan,Taiwan,2020-01-29 21:00:00,8,0,0
Australia,Australia,2020-01-29 21:00:00,7,0,0
Macau,Macau,2020-01-29 21:00:00,7,0,0
Malaysia,Malaysia,2020-01-29 21:00:00,7,0,0
Qinghai,Mainland China,2020-01-29 21:00:00,6,0,0
France,France,2020-01-29 21:00:00,5,0,0
Germany,Germany,2020-01-29 21:00:00,4,0,0
South Korea,South Korea,2020-01-29 21:00:00,4,0,0
United Arab Emirates,United Arab Emirates,2020-01-29 21:00:00,4,0,0
Canada,Canada,2020-01-29 21:00:00,3,0,0
California,USA,2020-01-29 21:00:00,2,0,0
Vietnam,Vietnam,2020-01-29 21:00:00,2,0,0
Arizona,USA,2020-01-29 21:00:00,1,0,0
Cambodia,Cambodia,2020-01-29 21:00:00,1,0,0
Finland,Finland,2020-01-29 21:00:00,1,0,0
Illinois,USA,2020-01-29 21:00:00,1,0,0
Nepal,Nepal,2020-01-29 21:00:00,1,0,0
Sri Lanka,Sri Lanka,2020-01-29 21:00:00,1,0,0
Xizang,Mainland China,2020-01-29 21:00:00,1,0,0
Washington,USA,2020-01-29 21:00:00,1,0,0
