name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-05-23 03:00:00,68135,4512,63616
Guangdong,Mainland China,2020-05-23 03:00:00,1591,8,1580
Henan,Mainland China,2020-05-23 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-05-23 03:00:00,1268,1,1267
Hong Kong,Hong Kong,2020-05-23 03:00:00,1065,4,1029
Hunan,Mainland China,2020-05-23 03:00:00,1019,4,1015
Anhui,Mainland China,2020-05-23 03:00:00,991,6,985
Jiangxi,Mainland China,2020-05-23 03:00:00,937,1,936
Heilongjiang,Mainland China,2020-05-23 03:00:00,945,13,932
Shandong,Mainland China,2020-05-23 03:00:00,788,7,780
Jiangsu,Mainland China,2020-05-23 03:00:00,653,0,653
Chongqing,Mainland China,2020-05-23 03:00:00,579,6,573
Beijing,Mainland China,2020-05-23 03:00:00,593,9,579
Shanghai,Mainland China,2020-05-23 03:00:00,667,7,647
Sichuan,Mainland China,2020-05-23 03:00:00,563,3,558
Taiwan,Taiwan,2020-05-23 03:00:00,441,7,408
Fujian,Mainland China,2020-05-23 03:00:00,356,1,355
Hebei,Mainland China,2020-05-23 03:00:00,328,6,322
Shaanxi,Mainland China,2020-05-23 03:00:00,308,3,304
Guangxi,Mainland China,2020-05-23 03:00:00,254,2,252
Nei Mongol,Mainland China,2020-05-23 03:00:00,217,1,199
Shanxi,Mainland China,2020-05-23 03:00:00,198,0,198
Tianjin,Mainland China,2020-05-23 03:00:00,192,3,187
Yunnan,Mainland China,2020-05-23 03:00:00,185,2,183
Hainan,Mainland China,2020-05-23 03:00:00,169,6,162
Guizhou,Mainland China,2020-05-23 03:00:00,147,2,145
Liaoning,Mainland China,2020-05-23 03:00:00,149,2,144
Gansu,Mainland China,2020-05-23 03:00:00,139,2,137
Jilin,Mainland China,2020-05-23 03:00:00,154,2,128
Xinjiang Uygur,Mainland China,2020-05-23 03:00:00,76,3,73
Ningxia,Mainland China,2020-05-23 03:00:00,75,0,75
Macau,Macau,2020-05-23 03:00:00,45,0,45
Qinghai,Mainland China,2020-05-23 03:00:00,18,0,18
Xizang,Mainland China,2020-05-23 03:00:00,1,0,1
Comoros,Comoros,2020-05-23 03:00:00,78,1,18
Tajikistan,Tajikistan,2020-05-23 03:00:00,2551,44,1089
Yemen,Yemen,2020-05-23 03:00:00,209,33,11
Sao Tome and Principe,Sao Tome and Principe,2020-05-23 03:00:00,251,8,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-05-23 03:00:00,1,0,1
South Sudan,South Sudan,2020-05-23 03:00:00,563,6,6
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-04-05 20:00:00,2,0,0
Malawi,Malawi,2020-05-23 03:00:00,82,3,28
Burundi,Burundi,2020-05-23 03:00:00,42,1,20
Sierra Leone,Sierra Leone,2020-05-23 03:00:00,606,38,230
Botswana,Botswana,2020-05-23 03:00:00,30,1,19
Anguilla,Anguilla,2020-05-23 03:00:00,3,0,3
Saint Barthelemy,Saint Barthelemy,2020-05-23 03:00:00,6,0,6
Bermuda,Bermuda,2020-05-23 03:00:00,128,9,81
Faroe Islands,Faroe Islands,2020-05-23 03:00:00,187,0,187
Gibraltar,Gibraltar,2020-05-23 03:00:00,151,0,147
Isle of Man,Isle of Man,2020-05-23 03:00:00,336,24,303
Saint Martin,Saint Martin,2020-05-23 03:00:00,40,3,33
Montserrat,Montserrat,2020-05-23 03:00:00,11,1,10
Mayotte,Mayotte,2020-05-23 03:00:00,1521,19,894
New Caledonia,New Caledonia,2020-05-23 03:00:00,18,0,18
Sint Maarten,Sint Maarten,2020-05-23 03:00:00,77,15,59
Turks and Caicos Islands,Turks and Caicos Islands,2020-05-23 03:00:00,12,1,10
Republic of the Congo,Republic of the Congo,2020-05-23 03:00:00,469,16,137
Angola,Angola,2020-05-23 03:00:00,60,3,17
Benin,Benin,2020-05-23 03:00:00,135,3,61
Bahamas,Bahamas,2020-05-23 03:00:00,97,11,44
Belize,Belize,2020-05-23 03:00:00,18,2,16
Barbados,Barbados,2020-05-23 03:00:00,90,7,70
Central African Republic,Central African Republic,2020-05-23 03:00:00,479,0,18
Cabo Verde,Cabo Verde,2020-05-23 03:00:00,362,3,95
Djibouti,Djibouti,2020-05-23 03:00:00,2270,10,1064
Dominica,Dominica,2020-05-23 03:00:00,16,0,16
Eritrea,Eritrea,2020-05-23 03:00:00,39,0,39
Fiji,Fiji,2020-05-23 03:00:00,18,0,15
Gambia,Gambia,2020-05-23 03:00:00,25,1,13
Guinea-Bissau,Guinea-Bissau,2020-05-23 03:00:00,1114,6,42
Equatorial Guinea,Equatorial Guinea,2020-05-23 03:00:00,960,11,165
Grenada,Grenada,2020-05-23 03:00:00,22,0,17
Haiti,Haiti,2020-05-23 03:00:00,812,25,22
Kyrgyzstan,Kyrgyzstan,2020-05-23 03:00:00,1350,14,939
Saint Kitts and Nevis,Saint Kitts and Nevis,2020-05-23 03:00:00,15,0,15
Laos,Laos,2020-05-23 03:00:00,19,0,14
Liberia,Liberia,2020-05-23 03:00:00,249,24,136
Libya,Libya,2020-05-23 03:00:00,72,3,38
Madagascar,Madagascar,2020-05-23 03:00:00,448,2,135
Mali,Mali,2020-05-23 03:00:00,969,62,560
Montenegro,Montenegro,2020-05-23 03:00:00,324,9,314
Mozambique,Mozambique,2020-05-23 03:00:00,164,0,48
Mauritius,Mauritius,2020-05-23 03:00:00,334,10,322
Niger,Niger,2020-05-23 03:00:00,937,60,764
Nicaragua,Nicaragua,2020-05-23 03:00:00,279,17,199
Papua New Guinea,Papua New Guinea,2020-05-23 03:00:00,8,0,8
El Salvador,El Salvador,2020-05-23 03:00:00,1725,33,570
Somalia,Somalia,2020-05-23 03:00:00,1594,61,204
Kosovo,Kosovo,2020-05-23 03:00:00,1004,29,772
Syria,Syria,2020-05-23 03:00:00,59,4,37
Chad,Chad,2020-05-23 03:00:00,611,58,196
Timor-Leste,Timor-Leste,2020-05-23 03:00:00,24,0,24
Tanzania,Tanzania,2020-05-23 03:00:00,509,21,183
Uganda,Uganda,2020-05-23 03:00:00,175,0,68
Zambia,Zambia,2020-05-23 03:00:00,920,7,336
Zimbabwe,Zimbabwe,2020-05-23 03:00:00,51,4,18
Russia,Russia,2020-05-23 03:00:00,326448,3249,99825
Spain,Spain,2020-05-22 23:00:00,281904,28628,196958
United Kingdom,United Kingdom,2020-05-22 23:00:00,255544,36475,1142
France,France,2020-05-22,144556,28289,64209
Turkey,Turkey,2020-05-23 03:00:00,154500,4276,116111
Iran,Iran,2020-05-23 03:00:00,131652,7300,102276
Saudi Arabia,Saudi Arabia,2020-05-23 03:00:00,67719,364,39003
Mexico,Mexico,2020-05-22 18:00:00,59567,6510,40657
Pakistan,Pakistan,2020-05-23 03:00:00,50694,1067,15201
Netherlands,Netherlands,2020-05-22 16:00:00,45088,5807,6
Qatar,Qatar,2020-05-23 03:00:00,40481,19,7893
Ecuador,Ecuador,2020-05-23 03:00:00,35828,3056,3557
Belarus,Belarus,2020-05-23 03:00:00,34303,190,12833
Sweden,Sweden,2020-05-23 03:00:00,32809,3925,4971
Switzerland,Switzerland,2020-05-23 03:00:00,30707,1903,27900
Singapore,Singapore,2020-05-23 03:00:00,30426,23,12995
Bangladesh,Bangladesh,2020-05-23 03:00:00,30205,432,6190
Portugal,Portugal,2020-05-23 03:00:00,30200,1289,7590
United Arab Emirates,United Arab Emirates,2020-05-23 03:00:00,27892,241,13798
Ireland,Ireland,2020-05-23 03:00:00,24506,1592,21060
Poland,Poland,2020-05-23 03:00:00,20619,982,8731
Ukraine,Ukraine,2020-05-23 03:00:00,20148,588,6585
South Africa,South Africa,2020-05-23 03:00:00,20125,397,10104
Kuwait,Kuwait,2020-05-23 03:00:00,19564,138,5515
Romania,Romania,2020-05-23 03:00:00,17712,1166,10777
Israel,Israel,2020-05-23 03:00:00,16690,279,13915
Japan,Japan,2020-05-23 03:00:00,16513,796,13005
Indonesia,Indonesia,2020-05-23 03:00:00,20796,1326,5057
Philippines,Philippines,2020-05-23 03:00:00,13597,857,3092
Dominican Republic,Dominican Republic,2020-05-23 03:00:00,13989,456,7572
Denmark,Denmark,2020-05-23 03:00:00,11230,561,9764
