REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Eje Cafetero - Antioquia,5,Antioquia,"5,001",Medellín
Región Eje Cafetero - Antioquia,5,Antioquia,"5,002",Abejorral
Región Eje Cafetero - Antioquia,5,Antioquia,"5,004",Abriaquí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,021",Alejandría
Región Eje Cafetero - Antioquia,5,Antioquia,"5,030",Amagá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,031",Amalfi
Región Eje Cafetero - Antioquia,5,Antioquia,"5,034",Andes
Región Eje Cafetero - Antioquia,5,Antioquia,"5,036",Angelópolis
Región Eje Cafetero - Antioquia,5,Antioquia,"5,038",Angostura
Región Eje Cafetero - Antioquia,5,Antioquia,"5,040",Anorí
Región Centro Oriente,68,Santander,"68,176",Chimá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,044",Anza
Región Eje Cafetero - Antioquia,5,Antioquia,"5,045",Apartadó
Región Eje Cafetero - Antioquia,5,Antioquia,"5,051",Arboletes
Región Eje Cafetero - Antioquia,5,Antioquia,"5,055",Argelia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,059",Armenia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,079",Barbosa
Región Eje Cafetero - Antioquia,5,Antioquia,"5,088",Bello
Región Eje Cafetero - Antioquia,5,Antioquia,"5,091",Betania
Región Eje Cafetero - Antioquia,5,Antioquia,"5,093",Betulia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,101",Ciudad Bolívar
Región Eje Cafetero - Antioquia,5,Antioquia,"5,107",Briceño
Región Eje Cafetero - Antioquia,5,Antioquia,"5,113",Buriticá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,120",Cáceres
Región Eje Cafetero - Antioquia,5,Antioquia,"5,125",Caicedo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,129",Caldas
Región Eje Cafetero - Antioquia,5,Antioquia,"5,134",Campamento
Región Eje Cafetero - Antioquia,5,Antioquia,"5,138",Cañasgordas
Región Eje Cafetero - Antioquia,5,Antioquia,"5,142",Caracolí
