RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,TELEFONOS,RES.,PROPIETARIO,Correo electronico-Pag.Web,,,,,,,,,,,
RESTAURANTE,GOVINDA,AV.COLON,424,CIUDAD,CAPITAL,,E/T,GOVINDA S.A.,,,,,,,,,,,,
BAR,ENTRETENIMIENTOS AVENIDA,AV.SAN MARTIN ,950,CIUDAD,CAPITAL,4200733,187/05,ENTRETENIMIENTOS AVENIDA S.R.L.,,,,,,,,,,,,
CAFETERIA,MIKELINOS,ENTRE RIOS  ,1685,CIUDAD,SAN RAFAEL,0260-4427448,584/11,REINA DE BONICELLI, EDITH PERLA,,,,,,,,,,,,
PARRILLADA,MI QUINCHO,BRANDSEN,36,CIUDAD,TUNUYAN,02622-423668,114/96,PERELLO, JOSE SALVADOR,,,,,,,,,,,,
HELADERIA,FIRENZE  ,URUGUAY Y COSTANERA,N/T,SAN JOSE,GUAYMALLEN,,293/92,SOSA,OSVALDO S.,,,,,,,,,,,,
RESTAURANTE,LA MIRA,BELGRANO,1191,CIUDAD,CAPITAL,4203000,871/13,BALAGUER, JUAN ANTONIO,,,,,,,,,,,,
CAFETERIA,EL HORNERO,AV.SAN MARTIN ,1823,CIUDAD,CAPITAL,4257874,E/T,ORTIZ, NELIDA MARIA,,,,,,,,,,,,
CARRITO-BAR,DON FORTUNA,SARMIENTO,1200,CIUDAD,GUAYMALLEN,,N/T,FORTUNA,RAUL JOSE,,,,,,,,,,,,
HELADERIA,HELADERIA PERIN,AV.SARMIENTO ,799,CIUDAD,CAPITAL,4257624,77/15,PERIN EMPRENDIMIENTOS S.A.,,,,,,,,,,,,
HELADERIA,FERRUCCIO SOPPELSA,BELGRANO ,1092,CIUDAD,CAPITAL,4255750,N/T,FERRUCCIO SOPPELSA S.R.L.,,,,,,,,,,,,
CAFETERIA,HAVANNA,PELLEGRINI ESQUINA DAY,,CIUDAD,SAN RAFAEL,0260-4420144,E/T,GARCIA, ANA SILVINA,,,,,,,,,,,,
BAR,LOBY BAR,AV.SAN MARTIN ,366,CIUDAD,CAPITAL,4243836,519/10,LOS RIELES S.A.,,,,,,,,,,,,
RESTAURANTE,DON OTTO,AV.LAS HERAS,242,CIUDAD,CAPITAL,155891121,979/13,DEL S.A.,,,,,,,,,,,,
HELADERIA,CHINI,AV.LAS HERAS,202,CIUDAD,CAPITAL,4255792,E/T,CHINI S.A.,,,,,,,,,,,,
CARRITO-BAR,VIA VENETO,AMIGORENA ,78,CIUDAD,CAPITAL,4291580,N/T,CONTE,LEONARDO Y NICOLAS Y GARGIULO A.,,,,,,,,,,,,
CONFITERIA,VIKINGOS,JOSE HERNANDEZ,35,CIUDAD,RIVADAVIA,,270/83,NEGRI, VICTOR,,,,,,,,,,,,
CARRITO-BAR,PIAMONTE,AV.SAN MARTIN,601,CIUDAD,GODOY CRUZ,4249391,341/05,VIDAL, GUILLERMO,,,,,,,,,,,,
PIZZERIA,CAPRI,LAVALLE ,109,CIUDAD,CAPITAL,4230262,473/97,CAPRI S.R.L. (LUIS FERNANDO SCACCIA),,,,,,,,,,,,
SANDWICHERIA,EL CONDOR,RAWSON,17,CIUDAD,SAN RAFAEL,0260-154551340,233/02,ARENAS, LUIS A.,,,,,,,,,,,,
RESTAURANTE,PATIO DE COMIDAS TAC LTDA.,TERMINAL DEL SOL P.ALTA NORTE,S/N,CIUDAD,GUAYMALLEN,4312860,553/96,COOP.TAC LTDA. HUGO ANDINO (APODERADO),,,,,,,,,,,,
RESTAURANTE,LA PIZZA,AV.SARMIENTO ,781,CIUDAD,CAPITAL,4340244,E/T,MARTINEZ, ADRIAN CARMELO,,,,,,,,,,,,
CAFETERIA,MITRE,AV.MITRE,1967,CIUDAD,CAPITAL,,316/05,FERNANDEZ, PURA DEL BALLE,,,,,,,,,,,,
RESTAURANTE,LOS PARRALES,25 DE MAYO ,817,CIUDAD,CAPITAL,4204499,N/T,HOTEL ACONCAGUA LEG.15,,,,,,,,,,,,
RESTAURANTE,BETEC,RUTA 7,S/N,USPALLATA,LAS HERAS,4255726,539/09,MONETTI, ROBERTO,,,,,,,,,,,,
RESTAURANTE,EL GRAN POLLO,PUEYRREDON,17,CIUDAD,SAN RAFAEL,0260-4428754,225/01,MALANO, HERMES DANIEL,,,,,,,,,,,,
CAFETERIA,CAFê BAMAC,AV.SAN MARTIN ,1425,GAL.BAMAC,CAPITAL,4257198,297/11,RAMOS, EDUARDO JAVIER ,,,,,,,,,,,,
