long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3633067544777,-34.6229634698018,1602,GUANTANAMERA,RESTAURANTE,CUBANA,MODERNO,4314 0770,,,MOREAU DE JUSTO ALICIA,2092,,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,Comuna 1,1107,C1107AFP
-58.3923296263654,-34.6215535313181,676,1843 VINACOTECA,VINERIA,,,4779 0806,,lunes a domingo de 8 a 00,HUMBERTO 1º,1843,,HUMBERTO 1º 1843,San Cristobal,Comuna 3,,
-58.4535422659946,-34.5603113496909,487,2080 EXPRESS,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4788 4500,,lunes a domingo de 8 a 00,JURAMENTO,2080,,JURAMENTO AV. 2080,Belgrano,Comuna 13,1428,C1428DNH
-58.4754910533597,-34.6770507014194,2737,22,CAFE,MINUTAS,MODERNO,,,,MURGUIONDO,4188,,MURGUIONDO 4188,Villa Lugano,Comuna 8,1439,C1439FTB
-58.4254372025985,-34.5856950120038,2,4 EN 2 I,RESTAURANTE,,,4832 9510,,,BORGES JORGE LUIS,2095,,"BORGES, JORGE LUIS 2095",Palermo,Comuna 14,1425,C1425FFA
-58.4222623518952,-34.571843204592,3,4 X 4 CAFE,BAR,MINUTAS,,4776 6000,info@4x4cafe.com,,DEL LIBERTADOR,3838,,DEL LIBERTADOR AV. 3838,Palermo,Comuna 14,1425,C1425ABY
-58.3783093871916,-34.6047966507886,2091,5TA AVENIDA,RESTAURANTE,MINUTAS,MODERNO,4394 5611,,lunes a viernes de 7.30 a 19,SARMIENTO,814,,SARMIENTO 814,San Nicolas,Comuna 1,1041,C1041AAR
-58.3719621592528,-34.6042923974068,2093,5TA AVENIDA I,RESTAURANTE,MINUTAS,MODERNO,4325 2960,,lunes a viernes de 6 a 20,SARMIENTO,381,,SARMIENTO 381,San Nicolas,Comuna 1,1041,C1041AAG
-58.4471040050065,-34.5975547126567,2655,5TA ZONA,,PARRILLA,CLASICO PORTEÑO,4855 4001,,,MURILLO,1049,,MURILLO 1049,Villa Crespo,Comuna 15,1414,C1414AFK
-58.3740768503219,-34.6003776803366,2092,650,RESTAURANTE,FUSION,MODERNO,4313 9650,seisso@seisso.com.ar,,SAN MARTIN,650,,SAN MARTIN 650,San Nicolas,Comuna 1,1004,C1004AAN
-58.3942957863223,-34.5947034778536,1636,788 FOODBAR,RESTAURANTE,MEDITERRANEA,MODERNO,4814 4788,www.788foodbar.com.ar,,ARENALES,1877,,ARENALES 1877,Recoleta,Comuna 2,1124,C1124AAA
-58.4394317610567,-34.583305135953,5,7 SEVEN,RESTAURANTE,PORTEÃ‘A,RUSTICA,4770 9698,,,GORRITI,5802,,GORRITI 5802,Palermo,Comuna 14,1414,C1414BKJ
-58.4365349998161,-34.5853461253674,6,8 MILIMETROS,RESTAURANTE,DE AUTOR,CINE,4899 0474,,,GORRITI,5535,,GORRITI 5535,Palermo,Comuna 14,1414,C1414BKC
-58.3810434491962,-34.6014656002464,2094,9 DE JULIO,RESTAURANTE,,,4322 2501,,,PELLEGRINI CARLOS,593,,"PELLEGRINI, CARLOS 593",San Nicolas,Comuna 1,1009,C1009ABK
-58.4731520536203,-34.6754401124166,2740,9 DE JULIO II,CAFE,PIZZERIA,CLASICO PORTEÑO,,,,RIESTRA,5498,,RIESTRA AV. 5498,Villa Lugano,Comuna 8,1439,C1439BYS
-58.374451461303,-34.6021407820163,2095,ABC,RESTAURANTE,ALEMANA,ALEMANA,4393 3992,,lunes a viernes de 12 a 17,LAVALLE,545,,LAVALLE 545,San Nicolas,Comuna 1,1047,C1047AAK
-58.3798147758162,-34.5941479793359,1950,ABRIL,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4393 0684,,lunes a sábado de 8 a 00,ARENALES,900,,ARENALES 900,Retiro,Comuna 1,1061,C1061AAD
-58.3702129129064,-34.616142070317,2549,ABRIL BRISTO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4342 8000,abrilbistro@fibertel.com,,BALCARCE,722,,BALCARCE 722,San Telmo,Comuna 1,1064,C1064AAP
-58.460853963279,-34.6427581429956,1122,ABUELO MATIAS,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4611 2758,abuelomatias@hotmail.com,,SAN PEDRITO,1094,,SAN PEDRITO 1094,Flores,Comuna 7,1406,C1406EXX
-58.4376699715801,-34.5830190073982,7,ACABAR,BAR,MINUTAS,BOHEMIO,4772 0845,acabar@bank.com.ar,,HONDURAS,5733,,HONDURAS 5733,Palermo,Comuna 14,1414,C1414BNG
-58.3775013908193,-34.6023464578949,2096,ACAPULCO,RESTAURANTE,PORTEÃ‘A,CLASICO PORTEÑO,4394 7975,acapulco@restaurante.com.ar,,LAVALLE,757,,LAVALLE 757,San Nicolas,Comuna 1,1047,C1047AAO
