,id,text,tokenized_text,polaridad,negative,neutral,positive,result
0,1450253980819496961,"Happy birthday, @NajJeter. I can't wait for you to return as Miles in #SpiderMan2 for PS5. - Giovanni De La Cruz 😁","['Happy', 'birthday', ',', '.', ""can't"", 'wait', 'return', 'Miles', 'PS5', '.', '-', 'Giovanni', 'De', 'La', 'Cruz']","Happy birthday , . can't wait return Miles PS5 . - Giovanni De La Cruz",0.0,0.791,0.209,Positive
1,1450231450872262667,Day 37 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/FlgmlqE6f2,"['Day', '37', 'asking', 'Insomniac', 'please', 'add', 'Captain', 'Universe', 'suit', 'Spider-Man', '2', 'either', 'Peter', 'Miles', 'https://t.co/FlgmlqE6f2']",Day 37 asking Insomniac please add Captain Universe suit Spider-Man 2 either Peter Miles https://t.co/FlgmlqE6f2,0.0,0.859,0.141,Neutral
2,1450176713380573184,@NetflixUK @netflix where is #spiderman2?? How could you leave this out? Preparing for #SpiderManNoWayHome #TobeyMaguire,"['?', '?', 'could', 'leave', '?', 'Preparing']",? ? could leave ? Preparing,0.258,0.742,0.0,Neutral
3,1450120733972119552,@RaggySays hello Jason how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023 #SpiderManPS5  #Spiderman2  #insomniacgames 🙏🏼🙏🏼🙏🏼🙏🏼🕸️🕷️🕷️🕷️🕷️💯 https://t.co/3pESDyz5Lk,"['hello', 'Jason', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', '2023', '️', '️', '️', '️', '️', 'https://t.co/3pESDyz5Lk']",hello Jason today want present new suit Peter Parker fusion spidey CAP hope like approve 2023 ️ ️ ️ ️ ️ https://t.co/3pESDyz5Lk,0.0,0.739,0.261,Positive
4,1450120372527960068,@AdamNoonchester hello Adam how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023 🕷️🕷️🕷️🕷️🕸️🕸️🕸️🕸️🙏🏼🙏🏼🙏🏼🙏🏼💪🏻👍🏻 #insomniacgames #SpiderManPS5 #Spiderman2 https://t.co/kmjOizrl5C,"['hello', 'Adam', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', '2023', '️', '️', '️', '️', '️', '️', '️', '️', 'https://t.co/kmjOizrl5C']",hello Adam today want present new suit Peter Parker fusion spidey CAP hope like approve 2023 ️ ️ ️ ️ ️ ️ ️ ️ https://t.co/kmjOizrl5C,0.0,0.767,0.233,Positive
5,1450119625539264512,@RyanSmithGD hello ryan how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023🙏🏼🙏🏼🙏🏼🙏🏼🕸️🕷️🕷️🕷️🕷️ #insomniacgames #SpiderManPS5 #Spiderman2 https://t.co/Cx5BtIKH3M,"['hello', 'ryan', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', '2023', '️', '️', '️', '️', '️', 'https://t.co/Cx5BtIKH3M']",hello ryan today want present new suit Peter Parker fusion spidey CAP hope like approve 2023 ️ ️ ️ ️ ️ https://t.co/Cx5BtIKH3M,0.0,0.739,0.261,Positive
6,1450116621607919623,@blurayangel Don't forget the games. #SuicideSquadGame #GothamKnights #Spiderman2 #WolverinePS5 https://t.co/6m6XKiqvGk,"['forget', 'games', '.', 'https://t.co/6m6XKiqvGk']",forget games . https://t.co/6m6XKiqvGk,0.388,0.612,0.0,Negative
7,1449943890723758083,Day 36 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/BJ51Xs5Jmk,"['Day', '36', 'asking', 'Insomniac', 'please', 'add', 'Captain', 'Universe', 'suit', 'Spider-Man', '2', 'either', 'Peter', 'Miles', 'https://t.co/BJ51Xs5Jmk']",Day 36 asking Insomniac please add Captain Universe suit Spider-Man 2 either Peter Miles https://t.co/BJ51Xs5Jmk,0.0,0.859,0.141,Neutral
8,1449715985716584452,"Found some Symbiote Suit leaks. :P #PS5Share, #MarvelsSpiderManRemastered  #MarvelsSpiderMan2 #SpiderMan2 #Venom #SymbioteSuit #VirtualPhotography #TheCapturedCollective #VGPUnite #GamerGram #WorldofVP #VPCommunity #ArtisticofSociety #VPWorld https://t.co/wL1Z9GjJzs","['Found', 'Symbiote', 'Suit', 'leaks', '.', ':P', ',', 'https://t.co/wL1Z9GjJzs']","Found Symbiote Suit leaks . :P , https://t.co/wL1Z9GjJzs",0.0,0.719,0.281,Positive
9,1449714150024925187,OMG!! Ready for #spiderman2 https://t.co/hKStmeSLrT,"['OMG', '!', '!', 'Ready', 'https://t.co/hKStmeSLrT']",OMG ! ! Ready https://t.co/hKStmeSLrT,0.0,0.565,0.435,Positive
