,id,text
0,1452750027919613953,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
1,1452741092491862016,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
2,1452731032294264842,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
3,1452726727050936326,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
4,1452726584234938377,RT @willduwiildu: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
5,1452726517482594304,I love #techtober
6,1452723771563917313,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
7,1452707541276823556,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
8,1452704500138057739,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
9,1452695063889203202,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
10,1452687106648821761,I don't think my wallet is ready for the @sony #XperiaProI ....damn you #techtober
11,1452685028530458629,Can somebody please remind me what I’m allowed to talk about now and what’s still under embargo? #techtober
12,1452679346334752778,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
13,1452677991260119051,@EdemReigns Just love it. #techtober
14,1452676841936805890,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
15,1452674348964139008,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
16,1452670469514141697,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
17,1452670398970019842,@MKBHD #techtober
18,1452669772550787077,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
19,1452669139324219400,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
20,1452668629183467523,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
21,1452661612763025413,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
22,1452659802191061010,"RT @MKBHD: Fun fact, right in the middle of #techtober is Ultimate frisbee's club National Championships, which is where I've been for the…"
23,1452659238774263814,RT @SuperSaf: I hear there will be a LOT of videos dropping today? 🤔 #Techtober
