id;nombre;descripcion;precio;cantidad_vendidos;habilitado;imagen
1;actitud;Dinánmico;81998;32882;false;Buckinghamshire Morado
2;online;GB Rústico SDD;19378;63073;false;synergistic reboot
3;Camino Genérico Solar;virtual Juguetería back-end;16908;53648;false;Gorro enterprise
4;microchip compress ROI;Costa SSL;57643;28242;true;invoice Plástico innovative
5;port Inversor metódica;Ucrania de;28148;30693;false;Deportes quantifying state
6;Estratega;Distrito cross-platform copying;73001;18378;true;optimize Rupee
7;XSS Heredado;e-markets deposit;93817;40228;false;Algodón
8;utilize;Toallas de focus;37465;94070;true;mindshare
9;Finlandia Account;Gerente;83649;44489;false;data-warehouse circuito technologies
10;Corporativo concepto;expedite TCP Sorprendente;47560;22128;true;radical bandwidth
