id;nombre;descripcion;precio;cantidad_vendidos;habilitado
1;actitud;Dinánmico;81998;32882;false
2;Buckinghamshire Morado;online;98594;85865;false
3;Rústico SDD;deposit;33378;71714;false
4;Dinánmico Camino Genérico;XSS virtual;374;39867;true
5;Gabón Guadalupe;Berkshire;76382;67494;true
6;Azul Profundo didactica;Gris Innovador;28242;73188;true
7;synthesizing Extrarradio;innovative Seguro;44740;92525;true
8;metódica real-time;de;28148;30693;false
9;Deportes quantifying state;Estratega;70490;90042;false
10;cross-platform;world-class Gorro optimize;68489;70562;true
