 GFS#                                                      
 Latitude:-32.89 Longitude: -68.86 &               
 DATA INITIAL TIME: 22 MAY 2022 18Z&     
 CALCULATION STARTED AT: 22 MAY 2022 18Z&
 HOURS OF CALCULATION:          240 &

FIELD  MSL PRESSURE  WIND DIRECTION WIND SPEED     
LEVEL                     10 M           10 M 
UNITS      HPA            DEG            KTS  
 HR
+  0.   1008.5           56.8            6.1
+  3.   1009.0           65.9            4.5
+  6.   1011.1          304.0            0.5
+  9.   1012.5          248.1            3.1
+ 12.   1012.8          219.2            5.6
+ 15.   1013.9          215.5            5.3
+ 18.   1015.6          207.8            6.1
+ 21.   1014.6          141.8            7.0
+ 24.   1010.7          108.8            5.6
+ 27.   1009.3           71.7            3.7
+ 30.   1011.0           74.3            1.1
+ 33.   1010.1          329.9            2.1
+ 36.   1010.0          301.5            0.6
+ 39.   1010.7          212.1            0.9
+ 42.   1014.3          153.9            0.9
+ 45.   1014.2           88.3            4.6
+ 48.   1011.4           72.6            5.5
+ 51.   1010.8           50.0            3.1
+ 54.   1013.2           56.0            1.2
+ 57.   1015.2          153.3            1.1
+ 60.   1016.8          196.1            1.7
+ 63.   1019.6          206.1            5.7
+ 66.   1024.0          192.7            6.6
+ 69.   1027.4          151.6            9.2
+ 72.   1027.7          144.6            7.3
+ 75.   1028.3          150.8            5.5
+ 78.   1030.0          153.2            2.4
+ 81.   1028.9          358.6            2.2
+ 84.   1026.6           11.0            3.5
+ 87.   1023.9           26.3            3.6
+ 90.   1023.2           19.3            4.0
+ 93.   1019.2           47.6            5.9
+ 96.   1014.5           49.9            7.5
+ 99.   1014.9           60.0            4.1
+102.   1017.4            8.3            2.1
+105.   1017.5           83.4            0.2
+108.   1018.0          321.5            0.9
+111.   1017.4          309.6            1.1
+114.   1019.0          311.0            0.8
+117.   1017.5           74.6            4.5
+120.   1014.3           77.8            5.4
+123.   1014.8           89.8            4.1
+126.   1016.5            6.3            2.2
+129.   1016.2           19.2            3.1
+132.   1014.7            2.6            2.7
+135.   1013.5           10.9            2.6
+138.   1014.7          338.2            1.0
+141.   1014.2          102.1            3.2
+144.   1012.1          134.2            3.8
+147.   1012.9          128.0            5.8
+150.   1018.5          154.7            6.3
+153.   1019.9          118.7            3.7
+156.   1019.8           80.7            3.0
+159.   1019.8           17.3            2.3
+162.   1020.7          198.2            0.3
+165.   1021.2          110.8            5.4
+168.   1020.6          118.1            6.8
+171.   1021.9          113.3            7.1
+174.   1025.3          115.5            4.5
+177.   1025.6          132.1            2.6
+180.   1024.1          127.8            2.6
+183.   1022.8          132.1            1.4
+186.   1023.3           70.0            0.9
+189.   1021.7           92.6            3.8
+192.   1018.5           88.2            4.5
+195.   1018.9           79.0            4.6
+198.   1021.2           36.5            2.8
+201.   1021.5           31.9            3.4
+204.   1020.1           30.1            3.8
+207.   1018.5           29.3            2.7
+210.   1019.3           39.2            2.2
+213.   1017.8           77.9            3.9
+216.   1014.8           71.8            5.4
+219.   1015.5           81.3            4.5
+222.   1017.9           33.9            2.3
+225.   1019.0           44.5            2.7
+228.   1018.8           35.6            2.7
+231.   1018.6           17.5            1.8
+234.   1020.6           48.6            1.9
+237.   1020.9           71.4            4.4
+240.   1018.7           79.3            5.6
